INDEX,Unnamed: 1,Unnamed: 2,1. INBOUND TOURISM: Tourism expenditure in the country,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
204,1.35,204-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,0.1,0.2,0.2,0.4,0.4,0.5,1.5,1.9,2.9,4.7,5.6,0.3,0.4,0.4,0.4,21,4,4,2,7,6,10,13,0.86,2.6,2.8,..,
60,0,60-0,BERMUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1.33,60-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,500,448,447,407,370,440,513,583,601,94,142.9,..,1/ 1995-2005: country data.
60,1.34,60-1.34,,,Travel,,,US$ Millions,1/,IMF,488,472,478,487,479,431,351,378,348,426,429,495,569,431,366,442,493,441,439,401,370,440,513,583,601,94,142.9,..,
60,1.35,60-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,7,8,6,..,..,..,..,..,..,..,..,
64,0,64-0,BHUTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1.33,64-1.33,,Tourism expenditure in the country,,,,US$ Millions,1/,IMF,5,6,6,8,9,10,9,8,8,13,19,36,47,47,51,64,76,93,116,99,120,139,153,121,120,84,3.8,0.2,1/ 1995-2005: country data.
64,1.34,64-1.34,,,Travel,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,23,28,37,42,40,47,61,83,84,94,92,105,103,120,84,3.8,0.2,
64,1.35,64-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,13,19,10,9,24,29,32,33,15,26,47,48,18,..,..,..,..,
68,0,68-0,"BOLIVIA, PLURINATIONAL STATE OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1.33,68-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,92,100,129,137,124,101,119,143,243,283,345,330,326,302,306,339,499,631,639,746,810,827,928,947.9,977,239.9,269,706,
68,1.34,68-1.34,,,Travel,,,US$ Millions,,IMF,55,61,64,69,87,68,76,100,166,192,239,244,292,275,279,310,380,594,574,664,699,713,803,815,837.3,189,190,530,
68,1.35,68-1.35,,,Passenger transport,,,US$ Millions,,IMF,37,39,65,68,37,33,43,43,77,91,106,86,34,27,27,29,119,37,65,82,111,114,125,132.9,139.7,50.9,79,176,
534,0,534-0,BONAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,1.33,534-1.33,,Tourism expenditure in the country,,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ Source: Central Bank of the Netherlands Antilles.
534,1.34,534-1.34,,,Travel,,,US$ Millions,1/,CB,37,42,44,43,45,59,64,65,84,87,87,91,110,121,107,..,..,..,..,..,..,..,..,..,..,..,..,..,
534,1.35,534-1.35,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
70,0,70-0,BOSNIA AND HERZEGOVINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1.33,70-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,..,..,..,257,258,246,279,307,404,507,557,658,804,913,753,662,722,686,752,755,794,875,984,1147,1225,443,1003,1464,
70,1.34,70-1.34,,,Travel,,,US$ Millions,,IMF,..,..,..,247,245,233,265,288,377,481,519,607,724,825,674,589,635,615,685,707,752,830,930,1096,1173,431,967,1414,
70,1.35,70-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,10,13,13,14,19,27,26,38,51,80,88,79,73,87,71,67,48,42,45,54,51,52,12,36,50,
72,0,72-0,BOTSWANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1.33,72-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,176,105,141,179,239,227,235,324,459,582,563,540,548.3,510.7,663.6,440.1,468.3,461.3,484.2,529.3,534.3,505,542.01,584.2,712.4,116.89999999999999,275.29999999999995,373.59999999999997,
